XData,YData1,YData2,YData3,YData4
0.0001,-0.000444132088790636,-0.000493480107468995,-0.000444134,-0.000493483
0.0011,-0.00488530875890411,-0.00542813257262615,-0.00751166,-0.00834633
0.0021,-0.00932576440000288,-0.0103620420503053,-0.0145771,-0.0161971
0.0031,-0.0137648438036342,-0.0152945333708887,-0.0216371,-0.0240422
0.0041,-0.0182018922720697,-0.0202249318774974,-0.0286887,-0.0318787
0.0051,-0.0226362558611393,-0.0251525636697843,-0.0357296,-0.0397041
0.0061,-0.0270672816226366,-0.0300767558472982,-0.0427573,-0.047516
0.0071,-0.0314943178461643,-0.0349968367522872,-0.0497692,-0.0553116
0.0081,-0.0359167143002773,-0.0399121362117997,-0.056762,-0.0630874
0.0091,-0.0403338224727925,-0.0448219857789517,-0.0637342,-0.0708421
0.0101,-0.0447449958101269,-0.0497257189732211,-0.0706831,-0.0785728
0.0111,-0.0491495899555319,-0.0546226715196376,-0.077605,-0.0862756
0.0121,-0.0535469629860884,-0.0595121815867325,-0.0844988,-0.0939493
0.0131,-0.0579364756483307,-0.0643935900231171,-0.0913612,-0.101591
0.0141,-0.0623174915923684,-0.0692662405925561,-0.0981901,-0.109198
0.0151,-0.0666893776043751,-0.0741294802074086,-0.104983,-0.116767
0.0161,-0.0710515038373156,-0.0789826591603054,-0.111737,-0.124297
0.0171,-0.0754032440397834,-0.0838251313539351,-0.118451,-0.131786
0.0181,-0.0797439757828231,-0.0886562545288139,-0.125121,-0.139229
0.0191,-0.0840730806846124,-0.0934753904889133,-0.131747,-0.146626
0.0201,-0.0883899446328822,-0.0982819053250247,-0.138325,-0.153974
0.0211,-0.0926939580049518,-0.103075169635736,-0.144852,-0.16127
0.0221,-0.0969845158852629,-0.107854558745907,-0.151329,-0.168513
0.0231,-0.101261018280291,-0.112619452922519,-0.15775,-0.1757
0.0241,-0.105522870330726,-0.117369237587791,-0.164116,-0.182829
0.0251,-0.109769482520798,-0.122103303529442,-0.170424,-0.189898
0.0261,-0.114000270884654,-0.126821047107995,-0.176672,-0.196905
0.0271,-0.118214657209656,-0.131521870461012,-0.182859,-0.203849
0.0281,-0.122412069236517,-0.13620518170415,-0.18898,-0.210725
0.0291,-0.126591940856152,-0.140870395128943,-0.195037,-0.217535
0.0301,-0.130753712303155,-0.145516931397197,-0.201026,-0.224275
0.0311,-0.134896830345801,-0.150144217731911,-0.206947,-0.230944
0.0321,-0.139020748472471,-0.154751688104624,-0.212797,-0.23754
0.0331,-0.143124927074419,-0.159338783419089,-0.218575,-0.244061
0.0341,-0.14720883362478,-0.163904951691198,-0.22428,-0.250507
0.0351,-0.151271942853733,-0.168449648225048,-0.229909,-0.256873
0.0361,-0.155313736919747,-0.172972335785094,-0.235463,-0.263162
0.0371,-0.159333705576806,-0.177472484764277,-0.240939,-0.269371
0.0381,-0.163331346337557,-0.181949573348068,-0.246335,-0.275496
0.0391,-0.167306164632297,-0.186403087674347,-0.251653,-0.281541
0.0401,-0.171257673963714,-0.190832521989044,-0.256888,-0.287499
0.0411,-0.175185396057344,-0.195237378797473,-0.262043,-0.293374
0.0421,-0.179088861007639,-0.199617169011295,-0.267113,-0.299162
0.0431,-0.182967607419624,-0.203971412091045,-0.2721,-0.304862
0.0441,-0.186821182546044,-0.208299636184166,-0.277003,-0.310476
0.0451,-0.190649142419979,-0.212601378258488,-0.281819,-0.315998
0.0461,-0.194451051982857,-0.216876184231114,-0.286549,-0.321433
0.0471,-0.198226485207807,-0.22112360909264,-0.291193,-0.326777
0.0481,-0.201975025218339,-0.225343217026691,-0.295749,-0.332029
0.0491,-0.205696264402265,-0.2295345815247,-0.300218,-0.337191
0.0501,-0.209389804520858,-0.233697285495925,-0.304597,-0.342259
0.0511,-0.213055256813195,-0.237830921372631,-0.308889,-0.347236
0.0521,-0.216692242095654,-0.241935091210437,-0.313092,-0.352119
0.0531,-0.220300390856542,-0.24600940678378,-0.317205,-0.35691
0.0541,-0.223879343345816,-0.250053489676476,-0.32123,-0.361608
0.0551,-0.227428749659896,-0.254066971367356,-0.325163,-0.366211
0.0561,-0.230948269821524,-0.258049493310955,-0.329009,-0.370722
0.0571,-0.234437573854679,-0.262000707013248,-0.332765,-0.375138
0.0581,-0.237896341854523,-0.265920274102408,-0.336431,-0.379461
0.0591,-0.241324264052362,-0.269807866394586,-0.340009,-0.383691
0.0601,-0.244721040875643,-0.273663165954704,-0.343497,-0.387826
0.0611,-0.248086383002952,-0.277485865152266,-0.346898,-0.39187
0.0621,-0.251420011414042,-0.28127566671217,-0.350209,-0.395819
0.0631,-0.254721657434878,-0.285032283760555,-0.353432,-0.399677
0.0641,-0.257991062777715,-0.288755439865659,-0.356569,-0.403443
0.0651,-0.26122797957622,-0.292444869073724,-0.359618,-0.407116
0.0661,-0.264432170415648,-0.296100315939946,-0.362581,-0.4107
0.0671,-0.267603408358092,-0.299721535554499,-0.365457,-0.41419
0.0681,-0.270741476962829,-0.303308293563642,-0.36825,-0.417593
0.0691,-0.273846170301779,-0.306860366185943,-0.370957,-0.420905
0.0701,-0.27691729297012,-0.310377540223641,-0.37358,-0.424128
0.0711,-0.27995466009206,-0.313859613069171,-0.376123,-0.427265
0.0721,-0.282958097321827,-0.3173063927069,-0.37858,-0.430312
0.0731,-0.285927440839898,-0.320717697710089,-0.380959,-0.433275
0.0741,-0.288862537344504,-0.32409335723313,-0.383256,-0.436152
0.0751,-0.291763244038459,-0.327433210999104,-0.385475,-0.438944
0.0761,-0.294629428611346,-0.33073710928269,-0.387616,-0.441653
0.0771,-0.297460969217121,-0.334004912888476,-0.389678,-0.444278
